brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price
Nissan,Altima 2.5 SL,2023,4520,2.5L,2.5,Automatic CVT,1,Gasoline,Front-wheel Drive,23,29,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,Charcoal,Gun Metallic,29990
Lexus,IS 250 Base,2014,111377,2.5L V6 24V PDI DOHC,2.5,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,,,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,,Silver,18995
Nissan,Titan XD Platinum Reserve,2023,585,5.6L V8 32V GDI DOHC,5.6,Automatic,1,Gasoline,Four-wheel Drive,21,26,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,Beige,Gun Metallic,61400
Chevrolet,Suburban 1500 LTZ,2012,145831,"Vortec 5.3L V-8 variable valve control, engine with cylinder dea",5.3,Automatic,1,E85 Flex Fuel,Four-wheel Drive,15,21,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,Light Cashmere/Dark Cashmere,Mocha Steel Metallic,18278
Maserati,Ghibli S Q4,2016,35218,3.0L V6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,16,24,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,Rosso Trofeo,Black,33060
BMW,X5 3.0i,2003,125999,3.0L I6 24V MPFI DOHC,3,5-Speed Automatic,1,Gasoline,Four-wheel Drive,15,21,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Black,Steel Gray Metallic,7485
Jeep,Grand Cherokee Limited,2020,24891,3.6L V6 24V MPFI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,17,21,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,Black,Bright White Clearcoat,35994
BMW,330 i xDrive,2023,2818,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,Tacora Red,Mineral White Metallic,48295
Cadillac,CT6 Luxury,2019,37814,3.6L V6 24V GDI DOHC,3.6,10-Speed Automatic,1,Gasoline,Four-wheel Drive,18,26,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,Shara Beige,Manhattan Noir Metallic,40999
Honda,Civic Si Base,2020,69947,1.5L I4 16V GDI DOHC Turbo,1.5,6-Speed Manual,0,Gasoline,Front-wheel Drive,26,36,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,Black,Lunar Silver Metallic,24993
Honda,CR-V Touring,2016,17446,2.4L I4 16V GDI DOHC,2.4,Automatic CVT,1,Gasoline,Front-wheel Drive,26,33,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,Black,White Diamond Pearl,24628
Mitsubishi,Outlander Sport 2.0 ES,2020,82723,Regular Unleaded I-4 2.0 L/122,2,Variable,0,Gasoline,Four-wheel Drive,,,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,Silver,16378
Lexus,RX 350 Base,2022,10750,3.5L V6 24V PDI DOHC,3.5,8-Speed Automatic,1,Gasoline,Four-wheel Drive,19,26,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,Black,Atomic Silver,50000
Jaguar,XF 35t Premium,2017,43135,V6,,Automatic,1,Gasoline,Four-wheel Drive,,,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,Jet / Jet,Rhodium Silver,23850
Mercedes-Benz,GLE 350 Base,2018,89831,3.5L V6 24V GDI DOHC,3.5,7-Speed Automatic,1,Gasoline,Rear-wheel Drive,17,24,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,Tan,White,25900
MINI,SE Hardtop Cooper SE Signature,2023,1919,Electric,,1-Speed Automatic,1,Electric,Front-wheel Drive,28,38,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,Carbon Black,British Racing Green IV Metallic,33998
Alfa,Romeo Stelvio Ti,2020,27534,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,24,33,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,Black,Alfa White,33877
Mazda,CX-50 2.5 Turbo Premium Plus Package,2023,3709,2.5L I4 16V GDI DOHC Turbo,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,Terracotta,Ingot,41369
Land,Rover Discovery HSE LUXURY,2019,37900,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,21,26,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,Ebony,Corris Grey,44888
Jaguar,F-TYPE Base,2020,27485,I4,,Automatic,1,Gasoline,Rear-wheel Drive,17,26,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,Ebony / Ebony,Yulong White,44898
